SITE_ID,SITE_NAME,COUNTRY,LOCATION_LAT,LOCATION_LONG
US-XDC,NEON Dakota Coteau Field School (DCFS),USA,47.1617,-99.1066
US-XDJ,NEON Delta Junction (DEJU),USA,63.8811,-145.7514
US-XDL,NEON Dead Lake (DELA),USA,32.5417,-87.8039
US-XDS,NEON Disney Wilderness Preserve (DSNY),USA,28.1250,-81.4362
US-XGR,"NEON Great Smoky Mountains National Park, Twin Creeks (GRSM)",USA,35.6890,-83.5019
US-XHA,NEON Harvard Forest (HARV),USA,42.5369,-72.1727
US-XHE,NEON Healy (HEAL),USA,63.8757,-149.2133
US-XJE,NEON Jones Ecological Research Center (JERC),USA,31.1948,-84.4686
US-XJR,NEON Jornada LTER (JORN),USA,32.5907,-106.8425
US-XKA,NEON Konza Prairie Biological Station - Relocatable (KONA),USA,39.1104,-96.6129
US-XKZ,NEON Konza Prairie Biological Station (KONZ),USA,39.1008,-96.5631
US-XLE,NEON Lenoir Landing (LENO),USA,31.8539,-88.1612
US-XMB,NEON Moab (MOAB),USA,38.2483,-109.3883
US-XML,NEON Mountain Lake Biological Station (MLBS),USA,37.3783,-80.5248
US-XNG,NEON Northern Great Plains Research Laboratory (NOGP),USA,46.7697,-100.9154
US-XNQ,NEON Onaqui-Ault (ONAQ),USA,40.1776,-112.4524
US-XNW,NEON Niwot Ridge Mountain Research Station (NIWO),USA,40.0543,-105.5824
US-XPU,NEON Pu'u Maka'ala Natural Area Reserve (PUUM),USA,19.5531,-155.3173
US-XRM,"NEON Rocky Mountain National Park, CASTNET (RMNP)",USA,40.2759,-105.5459
US-XRN,NEON Oak Ridge National Lab (ORNL),USA,35.9641,-84.2826
US-XSB,NEON Ordway-Swisher Biological Station (OSBS),USA,29.6893,-81.9934
US-XSC,NEON Smithsonian Conservation Biology Institute (SCBI),USA,38.8929,-78.1395
US-XSE,NEON Smithsonian Environmental Research Center (SERC),USA,38.8901,-76.5600
US-XSJ,NEON San Joaquin Experimental Range (SJER),USA,37.1088,-119.7323
US-XSL,"NEON North Sterling, CO (STER)",USA,40.4619,-103.0293
US-XSP,NEON Soaproot Saddle (SOAP),USA,37.0334,-119.2622
US-XSR,NEON Santa Rita Experimental Range (SRER),USA,31.9107,-110.8355
US-XST,NEON Steigerwaldt Land Services (STEI),USA,45.5089,-89.5864
US-XTA,NEON Talladega National Forest (TALL),USA,32.9505,-87.3933
US-XTE,NEON Lower Teakettle (TEAK),USA,37.0058,-119.0060
US-XTL,NEON Toolik (TOOL),USA,68.6611,-149.3705
US-XTR,NEON Treehaven (TREE),USA,45.4937,-89.5857
US-XUK,NEON The University of Kansas Field Station (UKFS),USA,39.0404,-95.1921
US-XUN,NEON University of Notre Dame Environmental Research Center (UNDE),USA,46.2339,-89.5373
US-XWD,NEON Woodworth (WOOD),USA,47.1282,-99.2414
US-XWR,NEON Wind River Experimental Forest (WREF),USA,45.8205,-121.9519
US-XYE,NEON Yellowstone Northern Range (Frog Rock) (YELL),USA,44.9535,-110.5391
US-YK1,"Yukon-Kuskokwim Delta, Izaviknek-Kingaglia uplands, Burned 2015",USA,61.2723,-163.2228
US-YK2,"Yukon-Kuskokwim Delta, Izaviknek-Kingaglia uplands, Unburned",USA,61.2548,-163.2590
US-YLW,Yellow Cab urban,USA,29.7894,-95.3536
US-YNS,North Star Yedoma,USA,64.8939,-147.6374
US-ZF1,Zumwalt Farm Treatment,USA,40.7976,-87.5355
US-ZF2,Zumwalt Farm Control,USA,40.7939,-87.5355
